label,frame_id,num_subframes,rotation_degrees,transparency_type,transparency_flag,shift_x,shift_y,top_left_x_pixels,top_left_y_pixels,sizeX,sizeY,flip_x,flip_y
mon,0,1,0,0,false,-4,-4,0,0,8,8,false,false
mon,1,1,0,0,false,-24,-39,0,0,48,48,false,false
mon,2,1,0,0,false,-24,-39,48,0,48,48,false,false
mon,3,1,0,0,false,-25,-39,48,0,48,48,true,false
mon,4,1,0,0,false,-24,-39,144,0,48,48,false,false
mon,5,1,0,0,false,-24,-39,96,0,48,48,false,false
mon,6,1,0,0,false,-25,-39,144,0,48,48,true,false
mon,7,1,0,0,false,-24,-39,192,0,48,48,false,false
mon,8,1,0,0,false,-24,-39,0,48,48,48,false,false
mon,9,1,0,0,false,-24,-39,48,48,48,48,false,false
mon,10,1,0,0,false,-24,-39,96,48,48,48,false,false
mon,11,1,0,0,false,-24,-39,144,48,48,48,false,false
mon,12,1,0,0,false,-24,-39,192,48,48,48,false,false
mon,13,1,0,0,false,-25,-39,192,48,48,48,true,false
mon,14,1,0,0,false,-24,-39,0,96,48,48,false,false
mon,15,1,0,0,false,-24,-39,48,96,48,48,false,false
mon,16,1,0,0,false,-24,-39,96,96,48,48,false,false
mon,17,1,0,0,false,-24,-39,144,96,48,48,false,false
mon,18,1,0,0,false,-24,-39,192,96,48,48,false,false
mon,19,1,0,0,false,-25,-39,192,96,48,48,true,false
mon,20,1,0,0,false,-24,-39,0,144,48,48,false,false
mon,21,1,0,0,false,-24,-39,48,144,48,48,false,false
mon,22,1,0,0,false,-24,-39,96,144,48,48,false,false
mon,23,1,0,0,false,-24,-39,144,144,48,48,false,false
mon,24,1,0,0,false,-24,-39,192,144,48,48,false,false
mon,25,1,0,0,false,-24,-39,0,192,48,48,false,false
mon,26,1,0,0,false,-24,-39,48,192,48,48,false,false
mon,27,1,0,0,false,-24,-39,96,192,48,48,false,false
mon,28,1,0,0,false,-24,-39,144,192,48,48,false,false
mon,29,1,0,0,false,-28,-44,0,0,56,56,false,false
mon,30,1,0,0,false,-28,-44,56,0,56,56,false,false
mon,31,1,0,0,false,-28,-44,112,0,56,56,false,false
mon,32,1,0,0,false,-28,-44,168,0,56,56,false,false
mon,33,1,0,0,false,-28,-44,0,56,56,56,false,false
mon,34,1,0,0,false,-28,-44,56,56,56,56,false,false
mon,35,1,0,0,false,-28,-44,112,56,56,56,false,false
mon,36,1,0,0,false,-28,-44,168,56,56,56,false,false
mon,37,1,0,0,false,-28,-44,0,112,56,56,false,false
mon,38,1,0,0,false,-28,-44,56,112,56,56,false,false
mon,39,1,0,0,false,-28,-44,112,112,56,56,false,false
mon,40,1,0,0,false,-28,-44,168,112,56,56,false,false
mon,41,1,0,0,false,-28,-44,0,168,56,56,false,false
mon,42,1,0,0,false,-28,-44,168,168,56,56,false,false
mon,43,1,0,0,false,-28,-44,0,0,56,56,false,false
mon,44,1,0,0,false,-28,-44,56,0,56,56,false,false
mon,45,1,0,0,false,-28,-44,112,0,56,56,false,false
mon,46,1,0,0,false,-28,-44,168,0,56,56,false,false
mon,47,1,0,0,false,-28,-44,0,56,56,56,false,false
mon,48,1,0,0,false,-28,-44,56,56,56,56,false,false
mon,49,1,0,0,false,-28,-44,112,56,56,56,false,false
mon,50,1,0,0,false,-28,-44,168,56,56,56,false,false
mon,51,1,0,0,false,-28,-44,0,112,56,56,false,false
mon,52,1,0,0,false,-28,-44,56,112,56,56,false,false
mon,53,1,0,0,false,-28,-44,112,112,56,56,false,false
mon,54,1,0,0,false,-28,-44,168,112,56,56,false,false
mon,55,1,0,0,false,-28,-44,0,168,56,56,false,false
mon,56,1,0,0,false,-28,-44,168,168,56,56,false,false
mon,57,1,0,0,false,-29,-49,0,0,56,56,false,false
mon,58,1,0,0,false,-29,-49,56,0,56,56,false,false
mon,59,1,0,0,false,-29,-49,112,0,56,56,false,false
mon,60,1,0,0,false,-29,-49,168,0,56,56,false,false
mon,61,1,0,0,false,-28,-48,0,56,56,56,false,false
mon,62,1,0,0,false,-28,-48,56,56,56,56,false,false
mon,63,1,0,0,false,-28,-48,112,56,56,56,false,false
mon,64,1,0,0,false,-28,-48,168,56,56,56,false,false
mon,65,1,0,0,false,-25,-45,0,176,48,48,false,false
mon,66,1,0,0,false,-24,-44,176,176,48,48,false,false
mon,67,1,0,0,false,-25,-45,0,176,48,48,true,false
mon,68,1,0,0,false,-25,-45,176,176,48,48,true,false
mon,69,1,0,0,false,-25,-45,0,112,48,48,false,false
mon,70,1,0,0,false,-25,-45,48,112,48,48,false,false
mon,71,1,0,0,false,-25,-45,48,112,48,48,true,false
mon,72,1,0,0,false,-25,-45,96,112,48,48,false,false
mon,73,1,0,0,false,-28,-43,0,0,56,56,false,false
mon,74,1,0,0,false,-28,-43,56,0,56,56,false,false
mon,75,1,0,0,false,-28,-43,112,0,56,56,false,false
mon,76,1,0,0,false,-28,-43,168,0,56,56,false,false
mon,77,1,0,0,false,-28,-43,0,56,56,56,false,false
mon,78,1,0,0,false,-28,-43,56,56,56,56,false,false
mon,79,1,0,0,false,-24,-56,0,0,56,56,false,false
mon,80,1,0,0,false,-24,-56,56,0,56,56,false,false
mon,81,1,0,0,false,-24,-56,112,0,56,56,false,false
mon,82,1,0,0,false,-24,-56,168,0,56,56,false,false
mon,83,1,0,0,false,-24,-56,0,56,56,56,false,false
mon,84,1,0,0,false,-24,-56,56,56,56,56,false,false
mon,85,1,0,0,false,-24,-48,168,56,56,56,false,false
mon,86,1,0,0,false,-24,-48,0,112,56,56,false,false
mon,87,1,0,0,false,-24,-48,56,112,56,56,false,false
mon,88,1,0,0,false,-24,-48,112,112,56,56,false,false
mon,89,1,0,0,false,-24,-48,168,112,56,56,false,false
mon,90,1,0,0,false,-24,-48,0,168,56,56,false,false
mon,91,1,0,0,false,-28,-43,0,0,56,56,false,false
mon,92,1,0,0,false,-28,-43,56,0,56,56,false,false
mon,93,1,0,0,false,-28,-43,112,0,56,56,false,false
mon,94,1,0,0,false,-28,-43,168,0,56,56,false,false
mon,95,1,0,0,false,-28,-43,0,56,56,56,false,false
mon,96,1,0,0,false,-28,-43,56,56,56,56,false,false
mon,97,1,0,0,false,-28,-43,112,56,56,56,false,false
mon,98,1,0,0,false,-28,-43,112,56,56,56,true,false
mon,99,1,0,0,false,-28,-43,168,56,56,56,false,false
mon,100,1,0,0,false,-28,-43,168,56,56,56,true,false
mon,101,1,0,0,false,-28,-43,0,112,56,56,false,false
mon,102,1,0,0,false,-28,-43,0,112,56,56,true,false
mon,103,1,0,0,false,-28,-43,56,112,56,56,false,false
mon,104,1,0,0,false,-28,-43,56,112,56,56,true,false
mon,105,1,0,0,false,-28,-43,112,112,56,56,false,false
mon,106,1,0,0,false,-28,-43,112,112,56,56,true,false
mon,107,1,0,0,false,-28,-43,168,112,56,56,false,false
mon,108,1,0,0,false,-28,-43,168,112,56,56,true,false
mon,109,1,0,0,false,-28,-43,0,168,56,56,false,false
mon,110,1,0,0,false,-28,-43,0,168,56,56,true,false
mon,111,1,0,0,false,-28,-43,168,168,56,56,false,false
mon,112,1,0,0,false,-28,-43,168,168,56,56,true,false
mon,113,1,0,0,false,-28,-43,0,0,56,56,false,false
mon,114,1,0,0,false,-28,-43,56,0,56,56,false,false
mon,115,1,0,0,false,-28,-43,112,0,56,56,false,false
mon,116,1,0,0,false,-28,-43,168,0,56,56,false,false
mon,117,1,0,0,false,-28,-43,0,56,56,56,false,false
mon,118,1,0,0,false,-28,-43,56,56,56,56,false,false
mon,119,1,0,0,false,-28,-43,112,56,56,56,false,false
mon,120,1,0,0,false,-28,-43,168,56,56,56,false,false
mon,121,1,0,0,false,-28,-43,0,112,56,56,false,false
mon,122,1,0,0,false,-28,-43,56,112,56,56,false,false
mon,123,1,0,0,false,-28,-43,112,112,56,56,false,false
mon,124,1,0,0,false,-28,-43,168,112,56,56,false,false
mon,125,1,0,0,false,-28,-43,0,168,56,56,false,false
mon,126,1,0,0,false,-28,-43,168,168,56,56,false,false
