set_id,first,second,third,fourth
0,unit,weapon,effect,text
1,unit,weapon,text,effect
2,unit,effect,weapon,text
3,unit,text,weapon,effect
4,unit,effect,text,weapon
5,unit,effect,text,weapon
6,weapon,unit,effect,text
7,weapon,unit,text,effect
8,effect,unit,weapon,text
9,text,unit,weapon,effect
10,effect,unit,text,weapon
11,text,unit,effect,weapon
12,weapon,effect,unit,text
13,weapon,text,unit,effect
14,effect,weapon,unit,text
15,text,weapon,unit,effect
16,effect,text,unit,weapon
17,text,effect,unit,weapon
18,weapon,effect,text,unit
19,weapon,text,effect,unit
20,effect,weapon,text,unit
21,text,weapon,effect,unit
22,effect,text,weapon,unit
23,text,effect,weapon,unit
24,weapon,weapon,effect,weapon
25,effect,effect,effect,text
26,text,weapon,text,effect
