type,animation_id,animation_name
Altima/arute,0,Blank
Altima/arute,1,Face South (SW)
Altima/arute,2,Face SouthWest
Altima/arute,3,Face West (NW)
Altima/arute,4,Face NorthWest
Altima/arute,5,Face North (NW)
Altima/arute,6,Walk SW
Altima/arute,7,Walk NW
Altima/arute,8,Walk Fast SW
Altima/arute,9,Walk Fast NW
Altima/arute,10,Walk Slow SW
Altima/arute,11,Walk Slow NW
Altima/arute,12,Buffer?
Altima/arute,13,Buffer?
Altima/arute,14,Buffer?
Altima/arute,15,Buffer?
Altima/arute,16,Buffer?
Altima/arute,17,Buffer?
Altima/arute,18,Buffer?
Altima/arute,19,Buffer?
Altima/arute,20,Buffer?
Altima/arute,21,Buffer?
Altima/arute,22,Buffer?
Altima/arute,23,Buffer?
Altima/arute,24,
Altima/arute,25,
Altima/arute,26,
Altima/arute,27,
Altima/arute,28,
Altima/arute,29,
Altima/arute,30,
Altima/arute,31,
Altima/arute,32,
Altima/arute,33,
Altima/arute,34,
Altima/arute,35,
Altima/arute,36,
Altima/arute,37,
Altima/arute,38,
Altima/arute,39,
Altima/arute,40,
Altima/arute,41,
Altima/arute,42,
Altima/arute,43,
Altima/arute,44,
Altima/arute,45,
Altima/arute,46,
Altima/arute,47,
Altima/arute,48,
Altima/arute,49,
Altima/arute,50,
Altima/arute,51,
Altima/arute,52,
Altima/arute,53,
Altima/arute,54,
Altima/arute,55,
Altima/arute,56,
Altima/arute,57,
Altima/arute,58,Buffer?
Altima/arute,59,Buffer?
Altima/arute,60,
Altima/arute,61,
Altima/arute,62,Buffer?
Altima/arute,63,Buffer?
Altima/arute,64,
Altima/arute,65,
Altima/arute,66,
Altima/arute,67,
Altima/arute,68,
Altima/arute,69,
Altima/arute,70,
Altima/arute,71,
Altima/arute,72,
Altima/arute,73,
Altima/arute,74,
Altima/arute,75,
Altima/arute,76,Buffer?
Altima/arute,77,Buffer?
Altima/arute,78,Buffer?
Altima/arute,79,Buffer?
Altima/arute,80,Buffer?
Altima/arute,81,Buffer?
Altima/arute,82,Buffer?
Altima/arute,83,Buffer?
Altima/arute,84,
Altima/arute,85,
Altima/arute,86,
Altima/arute,87,
Altima/arute,88,
Altima/arute,89,
Altima/arute,90,Buffer?
Altima/arute,91,Buffer?
Altima/arute,92,Buffer?
Altima/arute,93,Buffer?
Altima/arute,94,Buffer?
Altima/arute,95,Buffer?
Altima/arute,96,
Altima/arute,97,
Altima/arute,98,
Altima/arute,99,
Altima/arute,100,
Altima/arute,101,
Altima/arute,102,
Altima/arute,103,
Altima/arute,104,
Altima/arute,105,
Altima/arute,106,
Altima/arute,107,
Altima/arute,108,
Altima/arute,109,
Altima/arute,110,
Altima/arute,111,
Altima/arute,112,
Altima/arute,113,
Altima/arute,114,MoveFindItem? SW
Altima/arute,115,MoveFindItem? NW
Altima/arute,116,Buffer?
Altima/arute,117,Buffer?
Altima/arute,118,
Altima/arute,119,
Altima/arute,120,
Altima/arute,121,
Altima/arute,122,Attack High SW
Altima/arute,123,Attack High NW
Altima/arute,124,Attack Mid SW
Altima/arute,125,Attack Mid NW
Altima/arute,126,Attack Low SW
Altima/arute,127,Attack Low NW
Altima/arute,128,
Altima/arute,129,
Altima/arute,130,
Altima/arute,131,
Altima/arute,132,
Altima/arute,133,
Altima/arute,134,
Altima/arute,135,
Altima/arute,136,Attack? SW
Altima/arute,137,Attack? NW
Chocobo/cyoko,0,Blank
Chocobo/cyoko,1,Face South
Chocobo/cyoko,2,Face SouthWest
Chocobo/cyoko,3,Face West
Chocobo/cyoko,4,Face NorthWest
Chocobo/cyoko,5,Face North
Chocobo/cyoko,6,Walk SW
Chocobo/cyoko,7,Walk NW
Chocobo/cyoko,8,Walk Fast SW
Chocobo/cyoko,9,Walk Fast NW
Chocobo/cyoko,10,Walk Slow SW
Chocobo/cyoko,11,Walk Slow NW
Chocobo/cyoko,12,Buffer?
Chocobo/cyoko,13,Buffer?
Chocobo/cyoko,14,Buffer?
Chocobo/cyoko,15,Buffer?
Chocobo/cyoko,16,Buffer?
Chocobo/cyoko,17,Buffer?
Chocobo/cyoko,18,Buffer?
Chocobo/cyoko,19,Buffer?
Chocobo/cyoko,20,Buffer?
Chocobo/cyoko,21,Buffer?
Chocobo/cyoko,22,Buffer?
Chocobo/cyoko,23,Buffer?
Chocobo/cyoko,24,WalkTo SW
Chocobo/cyoko,25,WalkTo NW
Chocobo/cyoko,26,WalkTo Fast SW
Chocobo/cyoko,27,WalkTo Fast NW
Chocobo/cyoko,28,WalkTo Slow SW
Chocobo/cyoko,29,WalkTo Slow NW
Chocobo/cyoko,30,Buffer?
Chocobo/cyoko,31,Buffer?
Chocobo/cyoko,32,Buffer?
Chocobo/cyoko,33,Buffer?
Chocobo/cyoko,34,Buffer?
Chocobo/cyoko,35,Buffer?
Chocobo/cyoko,36,FlyTo SW
Chocobo/cyoko,37,FlyTo NW
Chocobo/cyoko,38,FlyTo Fast SW
Chocobo/cyoko,39,FlyTo Fast NW
Chocobo/cyoko,40,FlyTo Slow SW
Chocobo/cyoko,41,FlyTo Slow NW
Chocobo/cyoko,42,Spin SW
Chocobo/cyoko,43,Spin NW
Chocobo/cyoko,44,Charge Beak SW
Chocobo/cyoko,45,Charge Beak NW
Chocobo/cyoko,46,Charge Wing SW
Chocobo/cyoko,47,Charge Wing NW
Chocobo/cyoko,48,Evade SW
Chocobo/cyoko,49,Evade NW
Chocobo/cyoko,50,Damaged SW
Chocobo/cyoko,51,Damaged NW
Chocobo/cyoko,52,KnockedOut SW
Chocobo/cyoko,53,KnockedOut NW
Chocobo/cyoko,54,Wing Up SW
Chocobo/cyoko,55,Wing Up NW
Chocobo/cyoko,56,LevelUp Dance SW
Chocobo/cyoko,57,LevelUp Dance NW
Chocobo/cyoko,58,LevelUp? SW
Chocobo/cyoko,59,LevelUp? NW
Chocobo/cyoko,60,Jump Start SW
Chocobo/cyoko,61,Jump Start NW
Chocobo/cyoko,62,Jump Mid SW
Chocobo/cyoko,63,Jump Mid NW
Chocobo/cyoko,64,Jump Land SW
Chocobo/cyoko,65,Jump Land NW
Chocobo/cyoko,66,Frozen Walk SW
Chocobo/cyoko,67,Frozen Walk NW
Chocobo/cyoko,68,Squint? SW
Chocobo/cyoko,69,Squint? NW
Chocobo/cyoko,70,Critical SW
Chocobo/cyoko,71,Critical NW
Chocobo/cyoko,72,Critical Ridden SW
Chocobo/cyoko,73,Critical Ridden NW
Chocobo/cyoko,74,Frozen Walk SW
Chocobo/cyoko,75,Frozen Walk NW
Chocobo/cyoko,76,Buffer?
Chocobo/cyoko,77,Buffer?
Chocobo/cyoko,78,Buffer?
Chocobo/cyoko,79,Buffer?
Chocobo/cyoko,80,Buffer?
Chocobo/cyoko,81,Buffer?
Chocobo/cyoko,82,Buffer?
Chocobo/cyoko,83,Buffer?
