OpcodeName,Parameters,Code
ffbe,0,ffbe
ffbf,0,ffbf
WaitForDistort,1,ffc0
QueueDistortAnim,2,ffc1
ffc2,0,ffc2
UnloadMFItem,0,ffc3
MFItemPos,2,ffc4
LoadMFItem,0,ffc5
WaitForInput,1,ffc6
ffc7,2,ffc7
ffc8,2,ffc8
ffc9,2,ffc9
ffca,2,ffca
MoveUp2,0,ffcb
MoveUp1,0,ffcc
MoveBackward2,0,ffcd
MoveBackward1,0,ffce
MoveDown2,0,ffcf
MoveDown1,0,ffd0
MoveForward2,0,ffd1
MoveForward1,0,ffd2
WeaponSheatheCheck1,1,ffd3
PlayAttackSound,1,ffd4
IncrementLoop,0,ffd5
WeaponSheatheCheck2,1,ffd6
ffd7,1,ffd7
SetFrameOffset,1,ffd8
QueueThrowAnimation,2,ffd9
ReturnErrorFinishAnim,0,ffda
SetSlowdown,1,ffdb
ReloadAnimation,0,ffdc
OverrideAnimation,1,ffdd
PostGenericAttack,0,ffde
SetYRotation0,0,ffdf
ClearShadow,0,ffe0
SetShadow,0,ffe1
SetLayerPriority,1,ffe2
ffe3,1,ffe3
ffe4,1,ffe4
SaveYpin,1,ffe5
ffe6,1,ffe6
ffe7,2,ffe7
ffe8,2,ffe8
ffe9,1,ffe9
ffea,2,ffea
FlipVertical,0,ffeb
FlipHorizontal,0,ffec
ffed,1,ffed
MoveUnitFB,1,ffee
MoveUnitDU,1,ffef
MoveUnitRL,1,fff0
fff1,2,fff1
QueueSpriteAnim,2,fff2
fff3,1,fff3
fff4,1,fff4
fff5,1,fff5
PlaySound,1,fff6
fff7,3,fff7
fff8,2,fff8
fff9,0,fff9
MoveUnitRLDUFB,3,fffa
fffb,2,fffb
Wait,2,fffc
HoldWeapon,1,fffd
EndAnimation,0,fffe
PauseAnimation,0,ffff
